# page-078.png
# SYMELEC listing page 77
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  77
176	7266	741200		SNA	
177	7267	107343		JMS MASKY	
178	7270	107440		JMS UPDAXY	
179	7271	212017		LAC LINE	
180	7272	107407		JMS POIDAT	/INSRT 2ND LINE P DATA XTOT AND/OR YTOT
181	7273	607216		JMP FOLBL 1	
182					
183					
184					
185	7274	0	FOPBL,	0	/POINT BL
186	7275	103035		FEL	
187	7276	52016		DAC POINT	
188	7277	772016		LAW POINT	
189	7300	103126		FINDN	
190	7301	762233		LAW OP 1	
191	7302	102347		CDR	
192	7303	102347		CDR	
193	7304	212203		LAC (1	
194	7305	62233		DAC I OP 1	
195	7306	762233		LAW OP 1	
196	7307	102347		CDR	
197	7310	162233		DZM I OP 1	
198	7311	627274		JMP I FOPBL	
199					
200	7312	0	MASKX,	0	/MASK TEMPDF FOR X
201	7313	225044		LAC I COMPOS	
202	7314	512175		AND (377	
203	7315	741200		SNA	
204	7316	627312		JMP I MASKX	
205	7317	45045		DAC VEPART	
206	7320	512177		AND (200	
207	7321	740200		SZA	
208	7322	607333		JMP . 11	/NEG VALUE
209	7323	205054		LAC XTOT	
210	7324	345045		TAD VEPART	
211	7325	45054		DAC XTOT	
212					
213					
214	7326	445044		ISZ COMPOS	
215	7327	211743		LAC RCATAL	/MASK ONLY ONE WORD IN THIS MODE
216	7330	741200		SNA	
217	7331	607313		JMP MASKX 1	
218	7332	627312		JMP I MASKX	
219					
220	7333	205045		LAC VEPART	/SUBTRACT NEG BIT
221	7334	740001		CMA	
222	7335	352105		TAD (201	
223	7336	45045		DAC VEPART	
224	7337	345054		TAD XTOT	
225	7340	512212		AND (17777	
226	7341	45054		DAC XTOT	
227	7342	607326		JMP .-14	
228					
229	7343	0	MASKY,	0	/MASK TEMPDF FOR Y
230	7344	225044		LAC I COMPOS	
231	7345	352240		TAD (-157777	
232	7346	741200		SNA	
233	7347	627343		JMP I MASKY	
