# page-035.png
# SYMELEC listing page 34
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  34
523					
524	3041	0		0	/FORM ELEMENT LENGTH N
525	3042	740001		CMA	
526	3043	42234		DAC OP+2	/SET HEAD COUNTER
527	3044	765066		LAW NM	/FOR PRINTNAME
528	3045	102312		GETSP	
529	3046	772014		LAW EL	/FOR ELEMENT
530	3047	102312		GETSP	
531	3050	52015		DAC EL1	/SAVE HEAD ADDRESS
532	3051	772014		LAW EL	
533	3052	103070		NULLR	
534	3053	102347		CDR	
535	3054	442234		ISZ OP 2	
536	3055	603052		JMP .-3	/FORM HEADER
537	3056	205066		LAC NM	
538	3057	252151		XOR (140000	
539	3060	72014		DAC I EL	/ATNAME
540	3061	212014		LAC EL	
541	3062	65066		DAC I NM	/BACK POINTER
542	3063	772014		LAW EL	
543	3064	102347		CDR	
544	3065	212015		LAC EL1	
545	3066	72014		DAC I EL	
546	3067	623041		JMP I FELN-JMS	
547					
548				NULLR = JMS .	
549					
550	3070	0		0	/FORM NULL RING
551	3071	102225		JMS OP-5	
552	3072	352150		TAD (40000	/SET RINGSTART
553	3073	62233		DAC I OP+1	
554	3074	202232		LAC OP	
555	3075	623070		JMP I NULLR-JMS	
556					
557					
558				INSRT = JMS .	
559	3076	0		0	/INSERT Q IN RING P
560	3077	102225		JMS OP-5	/GET Q
561	3100	42234		DAC OP 2	
562	3101	423076		XCT I INSRT-JMS	
563	3102	102225		JMS OP-5	/GET P
564	3103	222233		LAC I OP+1	
565	3104	512147		AND (117777	/MAY BE RINGSTART
566	3105	62234		DAC I OP+2	
567	3106	222233		LAC I OP+1	
568	3107	512150		AND (40000	/PRESERVE IF RINGSTART
569	3110	342234		TAD OP+2	
570	3111	62233		DAC I OP+1	/JOIN UP
571	3112	623076		JMP I INSRT-JMS	
572					
573					
574				FINDS = JMS .	
575	3113	0		0	/FIND RINGSTART
576	3114	102225		JMS OP-5	
577	3115	62232		DAC I OP	/MOVE NAME
578	3116	222233		LAC I OP+1	
579	3117	512150		AND (40000	
580	3120	740200		SZA	
