# page-051.png
# SYMELEC listing page 50
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  50
639					
640					
641					
642					
643	5146	0	SAVINS,	0	
644	5147	0	SAVSUB,	0	
645	5150	777777	CCOM1,	777777	
646	5151	260	PRINT1,	260	/FOR PRINTNAME OF INST
647	5152	260	PRINT2,	260	
648	5153	215		215	
649					
650	5154	272	COLON,	272	
651	5155	215	CR,	215	
652					
653					
654					
655					/MERGE WORKSPACE IN DOWNCOMPILER WITH STSTAK
656					
657				DEMP = STSTAK	
658				U2 = STSTAK 1	
659				V1 = STSTAK 2	
660				R1 = STSTAK 4	
661				YY1 = STSTAK 5	
662				YY2 = STSTAK 6	
663				DX = STSTAK 7	
664				COUN = STSTAK 10	
665				MRKY = STSTAK 11	
666				GAMMA = STSTAK 12	
667				U = STSTAK 13	
668				BETA = STSTAK 14	
669				TEM = STSTAK 15	
670				XBEAM = STSTAK 16	
671				X = STSTAK 20	
672				T2 = STSTAK 21	
673				V2 = STSTAK 22	
674				L = STSTAK 23	
675				STEST = STSTAK 25	
676				EX1 = STSTAK 26	
677				EX2 = STSTAK 27	
HAND	solid black rectangular mark in left margin beside SEQ 677-678
678				FIG = STSTAK 30	
679				YBMC = STSTAK 31	
680				MRKX = STSTAK 32	
681				MKER = STSTAK 33	
682				ALPHA = STSTAK 34	
683				DF = STSTAK 36	
684				LOPX = STSTAK 37	
685				T3 = STSTAK 40	
686				U1 = STSTAK 41	
687				R = STSTAK 42	
688				S1 = STSTAK 43	
689				SUMB = STSTAK 44	
690				DY = STSTAK 45	
691				PONT = STSTAK 46	
692				XBMC = STSTAK 47	
693				Y = STSTAK 50	
694				V = STSTAK 51	
695				TEMP2 = STSTAK 52	
696				YBEAM = STSTAK 53	
