# page-126.png
# RSPPIX listing page 14
RAW	/RSPPIX   ASSEMBLED 29 1 72 AT 17,15,40 BY HL1470   PAGE  14
755	1203	501261		AND (40000	/TEST IF RINGSTART
756	1204	740200		SZA	
757	1205	621177		JMP I DELB-JMS	/EXIT IF ILLEGAL
758	1206	220106		LAC I OP+1	
759	1207	100251		CAR 7	
760	1210	40107		DAC OP 2	/MOVE TO NEXT IN RING
761	1211	220106		LAC I OP 1	
762	1212	100251		CAR 7	
763	1213	540110		SAD OP+3	/DOES THIS POINT BACK TO THE ORIGINAL ELEMENT
764	1214	741000		SKP	
765	1215	601210		JMP ,-5	
766	1216	220107		LAC I OP+2	
767	1217	501261		AND (40000	/PRESERVE IF RING START
768	1220	360110		TAD I OP+3	
769	1221	60107		DAC I OP+2	/DELETE POINTER
770	1222	200105		LAC OP	
771	1223	100306		POP	
772	1224	621177		JMP I DELB-JMS	
773					
774					
775					
776				PAUSE		
777					
778					
	1225	0		BEG	
	1226	0		FREE	
	1227	0		ENDRES	
	1230	0		BOT	
	1231	0		TOP	
	1232	0		SAVINS	
	1233	0		LPBEG	
	1234	0		LOP	
	1235	0		LKBEG	
	1236	0		LINK	
	1237	0		EL	
	1240	0		EL1	
	1241	0		NM	
	1242	0		SAVSUB	
	1243	0		POINT	
	1244	0		LINE	
	1245	0		SBPI	
	1246	0		INST	
	1247	0		PBDM	
	1250	0		SYMB	
	1251	0		NOTE	
	1252	0		ERRMEB	
	1253	0		END	
	1254	0		LKEND	
	1255	0		ERRGB	
	1256	0		GDM	
	1257	0		BCC	
	1260	117777			
	1261	40000			
	1262	140000			
	1263	420001			
	1264	777776			
	1265	777773			
	1266	400000			
