# page-091.png
# /SYMELEC listing page 90
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  90
175	10427	770546		LAW COMP3	
176	10430	205005		LAC DF	
177	10431	44761		DAC GAMMA	/SAVE ADDRESS GAMMA
178	10432	110756		WRDF	/WRITE JUNK TO STEP DF
179	10433	204767		LAC X	
180	10434	45017		DAC Y	
181	10435	145001		DZM MRKX	
182	10436	144760		DZM MRKY	
183	10437	204765		LAC XBEAM	
184	10440	45016		DAC XBMC	
185	10441	205022		LAC YBEAM	
186	10442	45000		DAC YBMC	
187	10443	763155		LAW GRNA	/GOROUND TO FIND INSTANCES AND LINES
188	10444	102472		ENTER	
189	10445	765017		LAW Y	
190	10446	770620		LAW COMP4	
191	10447	770612		LAW COMP5	
192	10450	205001		LAC MRKX	
193	10451	741200		SNA	
194	10452	610465		JMP .+13	/WRITE WORDS TO POSITION TO
195	10453	212215		LAC (160000	/1ST POINTS OF INSTANCE
196	10454	110756		WRDF	
197	10455	760000		LAW	
198	10456	365006		TAD I LOPX	
199	10457	110756		WRDF	
200	10460	111011		UNSTKX	
201	10461	777777		LAM	
202	10462	345001		TAD MRKX	
203	10463	45001		DAC MRKX	
204	10464	610451		JMP .-13	
205	10465	204760		LAC MRKY	
206	10466	741200		SNA	
207	10467	610504		JMP .+15	
208	10470	740001		CMA	/TRANSFER LINES FROM STACKY TO
209	10471	352203		TAD (1	/STAK - WITHOUT REVERSAL OF ORDER
210	10472	44757		DAC COUN	
211	10473	345024		TAD LOPY	
212	10474	45024		DAC LOPY	
213	10475	352203		TAD (1	
214	10476	45015		DAC PONT	
215	10477	225015		LAC I PONT	
216	10500	102446		STAK	
217	10501	445015		ISZ PONT	
218	10502	444757		ISZ COUN	
219	10503	610477		JMP .-4	
220	10504	204760		LAC MRKY	
221	10505	741200		SNA	
222	10506	610535		JMP .+27	
223	10507	102460		UNSTAK	/WRITE LINES TO DISPLAY FILE
224	10510	44767		DAC X	
225	10511	110717		FLEAS	
226	10512	212215		LAC (160000	
227	10513	110756		WRDF	
228	10514	110656		JMS COMP12	
229	10515	110670		JMS COMP13	
230	10516	512145		AND (3777	
231	10517	570752		SAD I FLEA3	
232	10520	610530		JMP .+10	
