# page-107.png
# SYMELEC listing page 106
RAW	/SYMELEC                                       ASSEMBLED 12 2 72 AT 12.44.57 BY HL1470   PAGE  106
RAW	12150/ 40000
RAW	12151/ 140000
RAW	12152/ 420001
RAW	12153/ 777773
RAW	12154/ 220000
RAW	12155/ 560000
RAW	12156/ 577777
RAW	12157/ 500000
RAW	12160/ 77777
RAW	12161/ 400001
RAW	12162/ 20000
RAW	12163/ 760000
RAW	12164/ 4
RAW	12165/ 5
RAW	12166/ 10000
RAW	12167/ 4451
RAW	12170/ 4452
RAW	12171/ 770
RAW	12172/ 14
RAW	12173/ 4451
RAW	12174/ 4451
RAW	12175/ 377
RAW	12176/ 177400
RAW	12177/ 200
RAW	12200/ 700200
RAW	12201/ 401
RAW	12202/ 77577
RAW	12203/ 1
RAW	12204/ 4701
RAW	12205/ 3
RAW	12206/ 37
RAW	12207/ 377777
RAW	12210/ 200000
RAW	12211/ 600000
RAW	12212/ 17777
RAW	12213/ 60000
RAW	12214/ 560004
RAW	12215/ 160000
RAW	12216/ 400000
RAW	12217/ 300004
RAW	12220/ 1700
RAW	12221/ 1600
RAW	12222/ 12301
RAW	12223/ 30000
RAW	12224/ 425254
RAW	12225/ 120
RAW	12226/ 60
RAW	12227/ 160117
RAW	12230/ 16
RAW	12231/ 10
RAW	12232/ 777777
RAW	12233/ 7
RAW	12234/ 160113
RAW	12235/ 776000
RAW	12236/ 100
RAW	12237/ 7000
RAW	12240/ 620000
RAW	12241/ 100000
