# page-122.png
# RSPPIX listing page 10
RAW	/RSPPIX   ASSEMBLED 29 1 72 AT 17,15,40 BY HL1470   PAGE  10
523					
524	714	0		0	/FORM ELEMENT LENGTH N
525	715	740001		CMA	
526	716	40107		DAC OP+2	/SET HEAD COUNTER
527	717	761241		LAW NM	/FOR PRINTNAME
528	720	100165		GETSP	
529	721	761237		LAW EL	/FOR ELEMENT
530	722	100165		GETSP	
531	723	41240		DAC EL1	/SAVE HEAD ADDRESS
532	724	761237		LAW EL	
533	725	100743		NULLR	
534	726	100222		CDR	
535	727	440107		ISZ OP 2	
536	730	600725		JMP ,-3	/FORM HEADER
537	731	201241		LAC NM	
538	732	241262		XOR (140000	
539	733	61237		DAC I EL	/ATNAME
540	734	201237		LAC EL	
541	735	61241		DAC I NM	/BACK POINTER
542	736	761237		LAW EL	
543	737	100222		CDR	
544	740	201240		LAC EL1	
545	741	61237		DAC I EL	
546	742	620714		JMP I FELN-JMS	
547					
548				NULLR = JMS ,		
549					
550	743	0		0	/FORM NULL RING
551	744	100100		JMS OP-5	
552	745	341261		TAD (40000	/SET RINGSTART
553	746	60106		DAC I OP+1	
554	747	200105		LAC OP	
555	750	620743		JMP I NULLR-JMS	
556					
557					
558				INSRT = JMS ,		
559	751	0		0	/INSERT Q IN RING P
560	752	100100		JMS OP-5	/GET Q
561	753	40107		DAC OP 2	
562	754	420751		XCT I INSRT-JMS	
563	755	100100		JMS OP-5	/GET P
564	756	220106		LAC I OP+1	
565	757	501260		AND (117777	/MAY BE RINGSTART
566	760	60107		DAC I OP+2	
567	761	220106		LAC I OP+1	
568	762	501261		AND (40000	/PRESERVE IF RINGSTART
569	763	340107		TAD OP+2	
570	764	60106		DAC I OP+1	/JOIN UP
571	765	620751		JMP I INSRT-JMS	
572					
573					
574				FINDS = JMS ,		
575	766	0		0	/FIND RINGSTART
576	767	100100		JMS OP-5	
577	770	60105		DAC I OP	/MOVE NAME
578	771	220106		LAC I OP+1	
579	772	501261		AND (40000	
580	773	740200		SZA	
