# page-106.png
# SYMELEC listing page 105
RAW	/SYMELEC           ASSEMBLED 12 2 72 AT 12.44.57 BY HL1470          PAGE  105
RAW	12056/      0  YB
RAW	12057/      0  TEMPXL
RAW	12060/      0  TEMPYL
RAW	12061/      0  SAVVE
RAW	12062/      0  XTOTUP
RAW	12063/      0  YTOTUP
RAW	12064/      0  VAIN1
RAW	12065/      0  TEST
RAW	12066/ 777774
RAW	12067/ 11456
RAW	12070/ 360
RAW	12071/ 100100
RAW	12072/ 77
RAW	12073/ 660001
RAW	12074/ 350001
RAW	12075/ 370
RAW	12076/ 360000
RAW	12077/ 777753
RAW	12100/ 60120
RAW	12101/ 512005
RAW	12102/ 3000
RAW	12103/ 760002
RAW	12104/ 777760
RAW	12105/ 201
RAW	12106/ 272
RAW	12107/ 4444
RAW	12110/ 5067
RAW	12111/ 777737
RAW	12112/ 777757
RAW	12113/ 5305
RAW	12114/ 30117
RAW	12115/ 5674
RAW	12116/ 260
RAW	12117/ 400
RAW	12120/ 47
RAW	12121/ 233700
RAW	12122/ 4541
RAW	12123/ 63700
RAW	12124/ 101640
RAW	12125/ 221640
RAW	12126/ 605751
RAW	12127/ 606030
RAW	12130/ 34117
RAW	12131/ 17
RAW	12132/ 100170
RAW	12133/ 1776
RAW	12134/ 5136
RAW	12135/ 606252
RAW	12136/ 100177
RAW	12137/ 215
RAW	12140/ 277
RAW	12141/ 1760
RAW	12142/ 1777
RAW	12143/ 257
RAW	12144/ 4000
RAW	12145/ 3777
RAW	12146/ 2
RAW	12147/ 117777
