# page-065.png
# SYMELEC listing page 64
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  64
636	6223	605403		JMP PEN1	
637	6224	451746		ISZ RATTPO	
638	6225	606305		JMP BLIROU	
639					
640					
641					
642	6226	212114	MORE,	LAC (30117	/INCREASE LEVEL MARKER OF INST
643	6227	45637		DAC TRACK	
644	6230	106364		JMS SETCL	
645	6231	205116		LAC LEVEL	
646	6232	545117		SAD BLEVEL	
647	6233	606305		JMP BLIROU	
648	6234	352232		TAD (777777	
649	6235	45116		DAC LEVEL	
650	6236	606305		JMP BLIROU	
651					
652	6237	212114	LESS,	LAC (30117	/DECREASE LEVEL MARKER OF INST
653	6240	45637		DAC TRACK	
654	6241	106364		JMS SETCL	
655	6242	445116		ISZ LEVEL	
656	6243	225116		LAC I LEVEL	/FIND 0 IN INST STACK
657	6244	740200		SZA	
658	6245	606305		JMP BLIROU	
659	6246	777777		LAW	
660	6247	345116		TAD LEVEL	
661	6250	45116		DAC LEVEL	
662	6251	606305		JMP BLIROU	
663					
664					
665	6252	105466	STRCR,	JMS TRCR	/IF IN TRACKMODE OR DRAWMO
666	6253	205133		LAC CMODE	
667	6254	740100		SMA	
668	6255	606260		JMP . 3	
669	6256	452023		ISZ RTRACK	
670	6257	452042		ISZ CBUSY	
671					
672	6260	205123		LAC DRAWMO	
673	6261	740200		SZA	
674	6262	606265		JMP . 3	
HAND	solid black rectangular mark in left margin beside SEQ 674-676
675	6263	151776		DZM NODRA	
676	6264	605403		JMP PEN1	
677	6265	211776		LAC NODRA	
678	6266	740200		SZA	
679	6267	605403		JMP PEN1	
680	6270	607035		JMP SEGEX	
681					
682	6271	0	TESLEV,	0	/TEST BLINKING AND TOP LEVEL
683	6272	205134		LAC MBLINK	
684	6273	741200		SMA	
685	6274	605403		JMP PEN1	
686	6275	205116		LAC LEVEL	
687	6276	545117		SAD BLEVEL	
688	6277	741000		SKP	
689	6300	626271		JMP I TESLEV	
690	6301	760267		LAW 267	/NO OPERATION ON MAIN INST
691	6302	44362		DAC NOTE 5	
692	6303	452022		ISZ RERROR	
693	6304	606305		JMP BLIROU	
