# page-006.png
# SYMELEC listing page 5
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  5
233	322	200020		VEC ON 20 0	
234	323	4214		VEC -14 10	
235	324	200012		VEC ON 12 0	
236	325	2605		VEC -5 5	
237	326	305000		VEC ON 0 -12	
238	327	2407		VEC 7 5	
239	330	204010		VEC ON 10 10	
240	331	200020		VEC ON 20 0	
241	332	304010		VEC ON 10 -10	
242	333	310000		VEC ON 0 -20	
243	334	304210		VEC ON -10 -10	
244	335	200220		VEC ON -20 0	
245	336	204210		VEC ON -10 10	
246	337	210000		VEC ON 0 20	
247	340	104040		VEC 40 -10	
248	341	600020		VEC ES ON 20 0	
249	342	160000		PAR SB	
250	343	560004		DJP SB 4	
251					
252	344	35		35	
253	345	54		54	
254	346	300004	CUR0,	DDS VE 4	
255	347	200010		VEC ON 10 0	
256	350	4214		VEC -14 10	
257	351	200012		VEC ON 12 0	
258	352	202204		VEC ON -4 4	
259	353	104000		VEC 0 -10	
260	354	202004		VEC ON 4 4	
261	355	2		VEC 2 0	
262	356	204010		VEC ON 10 10	
263	357	200020		VEC ON 20 0	
264	360	304010		VEC ON 10 -10	
265	361	310000		VEC ON 0 -20	
266	362	304210		VEC ON -10 -10	
267	363	200220		VEC ON -20 0	
268	364	204210		VEC ON -10 10	
269	365	210000		VEC ON 0 20	
270	366	110020		VEC 20 -20	
271	367	210000		VEC ON 0 20	
272	370	204010		VEC ON 10 10	
273	371	200020		VEC ON 20 0	
274	372	304010		VEC ON 10 -10	
275	373	310000		VEC ON 0 -20	
276	374	304210		VEC ON -10 -10	
277	375	200220		VEC ON -20 0	
278	376	204210		VEC ON -10 10	
279	377	4040		VEC 40 10	
280	400	600010		VEC ES ON 10 0	
281	401	160000		PAR SB	
282	402	560004		DJP SB 4	
283					
284					
285					
286					
287	403	20		20	
288	404	104		104	
289	405	300004	NUL0,	DDS VE 4	
290	406	200017		VEC ON 17 0	
