# page-045.png
# SYMELEC listing page 44
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  44
291	3764	102347		CDR	
292	3765	102347		CDR	
293	3766	102347		CDR	
294	3767	102347		CDR	/INTO DATA
295	3770	224767		LAC I X	
296	3771	552241		SAD (JMS	
297	3772	603776		JMP . + 4	/JUMP MESSAGES DONE
298	3773	104005		JMS MESIN6	/PRINT A MESSAGE
299	3774	764767		LAW X	
300	3775	603767		JMP .-6	/LOOP
301	3776	205017		LAC Y	
302	3777	44767		DAC X	/RESTORE OLD VALUE
303	4000	104041		JMS MESIN9	/MOVE X TO SUBPICTURE
304	4001	765154		LAW COLON	
305	4002	103352		MESOUT	
306	4003	104005		JMS MESIN6	/OUTPUT PRINTNAME OF SUBPICTURE
307	4004	623375		AND I WAIT	/EXIT ALL DONE
308	4005	0	MESIN6,	0	
309	4006	764767		LAW X	
310	4007	104307		COPOUT	/COPY MESSAGE
311	4010	204366		LAC MESS	
312	4011	103352		MESOUT	/PRINT MESSAGE
313	4012	764123		LAW MESIN4+1	
314	4013	103352		MESOUT	/PRINT CRLF
315	4014	624005		JMP I MESIN6	
316	4015	145013	MESIN7,	DZM SUMB	/EXPECTING COMMAND
317	4016	204371		LAC MSIN	
318	4017	51754		DAC TEMP	
319	4020	104050		JMS MESIN1	
320	4021	104050		JMS MESIN1	
321	4022	104050		JMS MESIN1	/FIRST 3 CHARS
322	4023	151754		DZM TEMP	
323	4024	764126		LAW MESL	
324	4025	51772		DAC TEMP1	
325	4026	231772		LAC I TEMP1	
326	4027	741200		SNA	
327	4030	604072		JMP MESIN3-3	/NOT A COMMAND
328	4031	545013		SAD SUMB	/COMPARE
329	4032	604057		JMP MESIN2	/EXECUTE
330	4033	451754		ISZ TEMP	
331	4034	451772		ISZ TEMP1	
332	4035	604026		JMP .-7	/LOOP
333	4036	104041	MESIN8,	JMS MESIN9	/MOVE X TO SUBP IF :
334	4037	104331		COPIN	
335	4040	623375		AND I WAIT	
336					
337	4041	0	MESIN9,	0	/MOVE X TO SUBPICTURE
338	4042	764767		LAW X	
339	4043	103141		FINDP	
340	4044	102347		CDR	
341	4045	103113		FINDS	
342	4046	103126		FINDN	
343	4047	624041		JMP I MESIN9	
344	4050	0	MESIN1,	0	/ADD A CHAR TO SUMB
345	4051	205013		LAC SUMB	
346	4052	660706		ALSS 6	/LEFT 6 SIGNED
347	4053	371754		TAD I TEMP	
348	4054	45013		DAC SUMB	
