# page-007.png
# SYMELEC listing page 6
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  6
291	407	306000		VEC ON 0 -14	
292	410	200040		VEC ON 40 0	
293	411	214000		VEC ON 0 30	
294	412	200240		VEC ON -40 0	
295	413	306000		VEC ON 0 -14	
296	414	3413		VEC 13 7	
297	415	200014		VEC ON 14 0	
298	416	306000		VEC ON 0 -14	
299	417	200214		VEC ON -14 0	
300	420	206000		VEC ON 0 14	
301	421	103427		VEC 27 -7	
302	422	600017		VEC ES ON 17 0	
303	423	160000		PAR SB	
304	424	560004		DJP SB 4	
305					
306	425	20		20	
307	426	74		74	
308	427	300004	NOR0,	DDS VE 4	
309	430	200017		VEC ON 17 0	
310	431	306000		VEC ON 0 -14	
311	432	200040		VEC ON 40 0	
312	433	214000		VEC ON 0 30	
313	434	200240		VEC ON -40 0	
314	435	306000		VEC ON 0 -14	
315	436	3413		VEC 13 7	
316	437	306000		VEC ON 0 -14	
317	440	206014		VEC ON 14 14	
318	441	306000		VEC ON 0 -14	
319	442	206214		VEC ON -14 14	
320	443	103427		VEC 27 -7	
321	444	600017		VEC ES ON 17 0	
322	445	160000		PAR SB	
323	446	560004		DJP SB 4	
324					
325					
326				PAUSE	
327					
328					
HAND	solid black ink mark in left margin below last printed row
