# page-104.png
# SYMELEC listing page 103
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  103
929	11703	44770		DAC T2	
930	11704	204771		LAC V2	
931	11705	740001		CMA	
932	11706	304751		ADD V1	
933	11707	664000		GSM	
934	11710	51713		DAC . 3	
935	11711	204770		LAC T2	
936	11712	657122		MULS	
937	11713	0		0	
938	11714	44747		DAC DEMP	
939	11715	205007		LAC T3	
940	11716	664000		GSM	
941	11717	51722		DAC . 3	
942	11720	204747		LAC DEMP	
943	11721	644323		DIVS	
944	11722	0		0	
945	11723	640622		LLS 22	
946	11724	304751		ADD V1	
947	11725	45011		DAC R	
948	11726	631672		AND I SOLVE	
949					
950					
951					
952					
953	11727	205005	ESCAPE,	LAC DF	/REMOVES ATNAMES OF HIDDEN LINES
954	11730	352066		TAD (777774	
955	11731	45005		DAC DF	
956	11732	631134		AND I WRLB	
957					
958	11733	0	NEG,	0	/CONVERT 13 BIT TO 16 BIT
959	11734	51754		DAC TEMP	
960	11735	512166		AND (10000	
961	11736	740200		SZA	
962	11737	760000		LAW	/NEGATIVE
963	11740	251754		XOR TEMP	
964	11741	631733		JMP I NEG	
965					
966					
967				PAUSE	
968					
RAW	11742/      0  CDOCON
RAW	11743/      0  RCATAL
RAW	11744/      0  RCOPY
RAW	11745/      0  RGROUP
RAW	11746/      0  RATTPD
RAW	11747/      0  RTFIRI
RAW	11750/      0  ELAD
RAW	11751/      0  LENGTH
RAW	11752/      0  ETYPE
RAW	11753/      0  SYMB
RAW	11754/      0  TEMP
RAW	11755/      0  FSBPI
RAW	11756/      0  INST
RAW	11757/      0  SYM
RAW	11760/      0  XBMO
RAW	11761/      0  BXBMO
RAW	11762/      0  YBMO
RAW	11763/      0  BYBMO
