# page-005.png
# SYMELEC listing page 4
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  4
175	240	7400		VEC 0 17	
176	241	317000		VEC ON 0 -36	
177	242	20		VEC 20 0	
178	243	217000		VEC ON 0 36	
179	244	107400		VEC 0 -17	
180	245	600030		VEC ES ON 30 0	
181	246	160000		PAR SB	
182	247	560004		DJP SB 4	
183					
184					
185	250	34		34	
186	251	34		34	
187	252	300004	IND0,	DDS VE 4	
188	253	200010		VEC ON 10 0	
189	254	206004		VEC ON 4 14	
190	255	202004		VEC ON 4 4	
191	256	200006		VEC ON 6 0	
192	257	302004		VEC ON 4 -4	
193	260	306004		VEC ON 4 -14	
194	261	305202		VEC ON -2 -12	
195	262	200204		VEC ON -4 0	
196	263	205204		VEC ON -4 12	
197	264	210010		VEC ON 10 20	
198	265	200010		VEC ON 10 0	
199	266	302004		VEC ON 4 -4	
200	267	306004		VEC ON 4 -14	
201	270	305202		VEC ON -2 -12	
202	271	200204		VEC ON -4 0	
203	272	205204		VEC ON -4 12	
204	273	210010		VEC ON 10 20	
205	274	200010		VEC ON 10 0	
206	275	302004		VEC ON 4 -4	
207	276	306004		VEC ON 4 -14	
208	277	305202		VEC ON -2 -12	
209	300	200204		VEC ON -4 0	
210	301	203202		VEC ON -2 6	
211	302	202002		VEC ON 2 4	
212	303	600014		VEC ES ON 14 0	
213	304	160000		PAR SB	
HAND	solid black ink mark in left margin beside rows 213-214
214	305	560004		DJP SB 4	
215					
216					
217	306	7		7	
218	307	64		64	
219	310	300004	SWI0,	DDS VE 4	
220	311	200022		VEC ON 22 0	
221	312	206434		VEC ON 34 15	
222	313	106400		VEC 0 -15	
223	314	600022		VEC ES ON 22 0	
224	315	160000		PAR SB	
225	316	560004		DJP SB 4	
226					
227					
228					
229					
230	317	23		23	
231	320	44		44	
232	321	300004	VOL0,	DDS VE 4	
