# page-052.png
# SYMELEC listing page 51
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  51
697				SVAD = STSTAK 54	
698				LOPY = STSTAK 55	
699					
700					
701					
702					/MERGE WORKSPACE WITH EXEC
703					
704					
705				SAV = STSTAK 60	
706				HDR1 = STSTAK 61	
707				DS = STSTAK 62	
708				ADR = STSTAK 63	
709				SW = STSTAK 64	
710				CKS = STSTAK 65	
711				RELCON = STSTAK 66	
712				ADR1 = STSTAK 67	
713				BSZ = STSTAK 70	
714					
715					
716					
717					/MERGE WORKSPACE WIYH MBWAIT, RTP, TRCR, SYM, UPCOMP AND AMEND
718					
719					
720				YP = STSTAK 101	
721				XP = STSTAK 102	
722				TRAKX = STSTAK 103	
723				TRAKY = STSTAK 104	
724				XTOT = STSTAK 105	
725				YTOT = STSTAK 106	
726				XINS = STSTAK 107	
727				YINS = STSTAK 110	
728				XTOTIN = STSTAK 111	
729				YTOTIN = STSTAK 112	
730				SBPI = STSTAK 115	
731				CCAT = STSTAK 116	
732				NM = STSTAK 117	
733				SUMB = STSTAK 71	
734				MODE = STSTAK 72	
735				DACO = STSTAK 73	
HAND	solid black rectangular mark in left margin beside SEQ 735-736
736				ASR = STSTAK 74	
737				COMPOS = STSTAK 75	
738				VEPART = STSTAK 76	
739				XINS1 = STSTAK 77	
740				YINS1 =STSTAK 113	
741				COMPOI = STSTAK 114	
742				SBPI1 = STSTAK 17	
743					
744					
745					
746	5156	12301	DFB,	12301	/12301
747	5157	12400	DFE,	12400	/13300
748	5160	12440	DFERES,	12440	/13400
749	5161	12400	DFENOR,	12400	/13300
750					
751	5162	12441	BEG,	12441	/13401
752	5163	13000	END,	13000	/17200
753	5164	13100	ENDRES,	13100	/17300
754	5165	13000	ENDNOR,	13000	/17200
