# page-053.png
# SYMELEC listing page 52
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  52
755					
756	5166	13101	BOT,	13101	/17301
757	5167	13200	TOP,	13200	/17440
758	5170	0		0	
759					
760	5171	13201	LPBEG,	13201	/17461
761	5172	13240	LKBEG,	13240	/17560
762	5173	13300	LKEND,	13300	/17620
763					
764	5174	13301	XSTBEG,	13301	/17621 /FOR DOWNCOMP
765	5175	13340	YSTBEG,	13340	/17710
766	5176	13400	YSTEND,	13400	/17750
767	5177	13401	STSAVE,	13401	/17751
768					
769				PAUSE	
770					
HAND	solid black rectangular mark in left margin, mid-page below printed text
