# page-030.png
# SYMELEC listing page 29
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  29
233	2454	102221		JMS ERR	
234	2455	202235		LAC OP+3	
235	2456	72012		DAC I LOP	
236	2457	622446		JMP I STAK-JMS	
237					
238					
239	2460	0	UNSTAK-JMS,	0	/OPERAND FROM STACK
240	2461	232012		LAC I LOP	
241	2462	42235		DAC OP+3	
242	2463	212012		LAC LOP	
243	2464	545171		SAD LPBEG	
244	2465	102221		JMS ERR	
245	2466	352232		TAD (777777	
246	2467	52012		DAC LOP	
247	2470	202235		LAC OP+3	
248	2471	622460		JMP I UNSTAK-JMS	
249					
250				ENTER = JMS .	
251	2472	0		0	/ENTER SUBROUTINE (NAME ENTER
252	2473	42235		DAC OP+3	/SAVE ENTRY POINT
253	2474	445173		ISZ LINK	
254	2475	212013		LAC LINK	
255	2476	545173		SAD LKEND	
256	2477	102221		JMS ERR	
257	2500	202472		LAC ENTER-JMS	
258	2501	512212		AND (17777	
259	2502	72013		DAC I LINK	/SAVE LINK
260	2503	622235		JMP I OP+3	/ENTER SUBROUTINE
261					
262				EXIT = JMP .	
263	2504	222013		LAC I LINK	/EXIT SUBROUTINE
264	2505	552241		SAD (100000	
265	2506	102221		JMS ERR	/ERROR EXIT
266	2507	42235		DAC OP+3	/PLANT LINK
267	2510	212013		LAC LINK	
268	2511	545172		SAD LKBEG	
269	2512	102221		JMS ERR	
270	2513	352232		TAD (777777	
271	2514	52013		DAC LINK	
272	2515	622235		JMP I OP+3	/EXIT
273					
274					
275					/GARBAGE COLLECTOR - COMBINED PHASE 1 AND 2
276				GIND = OP+7	/INDEX NAMES
277				GBUG = OP+10	
278				GSTKP = OP+11	/BRANCH STACK POINTER
279				GTEMP = OP+12	
280					/NOTE THAT THE BRANCH STACK STORES GBUG
281					
282	2516	0	LIM,	0	/HERE IF FREELIST EXPIRED
283	2517	205170		LAC TOP 1	
284	2520	42243		DAC GSTKP	
285	2521	205166		LAC BOT	
286	2522	42241		DAC GIND	
287	2523	602530		JMP LIM1	
288					
289					/LOOP INSPECTING P. NAMES
290	2524	445241	LIM2,	ISZ GIND	/ NEXT PERM NAME
