# page-096.png
# /SYMELEC listing page 95
RAW	/SYMELEC   ASSEMBLED 12 2 72 AT 12,44,57 BY HL1470   PAGE  95
465					
466					
467					
468					
469	11035	0	DRLTD-JMS,	0	/POSITION BEAM
470	11036	225006		LAC I LOPX	
471	11037	744001		CMAICLL	
472	11040	304765		ADD XBEAM	
473	11041	740200		SZA	
474	11042	740001		CMA	
475	11043	44756		DAC DX	/DELTA X
476	11044	225024		LAC I LOPY	
477	11045	744001		CMAICLL	
478	11046	305022		ADD YBEAM	
479	11047	740200		SZA	
480	11050	740001		CMA	
481	11051	45014		DAC DY	/DELTA Y
482	11052	740200		SZA	
483	11053	611056		JMP .+3	
484	11054	544756		SAD DX	
485	11055	631035		JMP I DRLTD-JMS	/JUMP BOTH ZERO
486	11056	212071		LAC (100100	
487	11057	110756		WRDF	
488	11060	431035		XCT I DRLTD-JMS	/SET VIS/INVIS
489	11061	205014		LAC DY	
490	11062	111237		JMS VECGN	/DRAW LINE
491	11063	204756		LAC DX	
492	11064	110756		WRDF	
493	11065	777777		LAW	
494	11066	345005		TAD DF	
495	11067	51754		DAC TEMP	
496	11070	231754		LAC I TEMP	
497	11071	252216		XOR (400000	
498	11072	71754		DAC I TEMP	/ESCAPE BIT
499	11073	225006		LAC I LOPX	
500	11074	44765		DAC XBEAM	
501	11075	225024		LAC I LOPY	
502	11076	45022		DAC YBEAM	
503	11077	631035		JMP I DRLTD-JMS	
504					
505					
506	11100	0	WRLTD-JMS,	0	/POSITION BEAM
507	11101	225006		LAC I LOPX	
508	11102	111733		JMS NEG	
509	11103	44776		DAC EX2	/USED TO POSITION TO 1ST POINTS
510	11104	44762		DAC U	/OF INSTANCES AND FOR REPOSITIONING
511	11105	225024		LAC I LOPY	/AFTER LABELLING
512	11106	111733		JMS NEG	
513	11107	44755		DAC YY2	
514	11110	45020		DAC V	
515	11111	152065		DZM TEST	
516	11112	111510		LOCATE	
517	11113	45021		DAC TEMP2	/OMIT INSTANCE IF STARTS OFFSCREEN
518	11114	740200		SZA	
519	11115	610307		JMP COMP9	/OMIT LABEL TOO
520	11116	204765		LAC XBEAM	
521	11117	44775		DAC EX1	
522	11120	205022		LAC YBEAM	
